id,name,glideId,date,locations,locations_id,categories,categories_id
12,Caucasus (Northern) 1999 - 2002,,1999-01-01T00:00:00.000Z,184,id,2,id
11,West Timor 1999,,1999-01-01T00:00:00.000Z,104,id,2,id
8,Great Lakes Region and Central Africa 2000 -2003,SKAR-64FB9M,2000-01-01T00:00:00.000Z,185,id,2,id
8,Great Lakes Region and Central Africa 2000 -2003,SKAR-64FB9M,2000-01-01T00:00:00.000Z,51,id,2,id
8,Great Lakes Region and Central Africa 2000 -2003,SKAR-64FB9M,2000-01-01T00:00:00.000Z,52,id,2,id
8,Great Lakes Region and Central Africa 2000 -2003,SKAR-64FB9M,2000-01-01T00:00:00.000Z,221,id,2,id
7,Maluku Crisis 2000 - 2001,ACOS-635NXZ,2000-01-01T00:00:00.000Z,104,id,2,id
10,Southeastern Europe 2000 - 2002,,2000-01-01T00:00:00.000Z,25724802,id,2,id
10,Southeastern Europe 2000 - 2002,,2000-01-01T00:00:00.000Z,56,id,2,id
10,Southeastern Europe 2000 - 2002,,2000-01-01T00:00:00.000Z,3,id,2,id
10,Southeastern Europe 2000 - 2002,,2000-01-01T00:00:00.000Z,132,id,2,id
10,Southeastern Europe 2000 - 2002,,2000-01-01T00:00:00.000Z,28,id,2,id
10,Southeastern Europe 2000 - 2002,,2000-01-01T00:00:00.000Z,198,id,2,id
